model_entity_id,entity_id,chain_id,uniprot_ac
AF-0000000000000098,1,A,O55706
AF-0000000000000099,1,A,Q196Z6
AF-0000000000000100,1,A,Q6GZR1
AF-0000000000000101,1,A,Q6GZR0
AF-0000000000000102,1,A,Q91G40
AF-0000000000000103,1,A,Q6GZQ9
AF-0000000000000104,1,A,Q6GZQ7
AF-0000000000000105,1,A,O55709
AF-0000000000000106,1,A,Q6GZQ6
AF-0000000000000107,1,A,Q6GZQ5
AF-0000000000000108,1,A,O55710
AF-0000000000000109,1,A,Q6GZQ4
AF-0000000000000110,1,A,Q6GZQ3
AF-0000000000000111,1,A,Q196Y8
AF-0000000000000112,1,A,Q6GZQ2
AF-0000000000000113,1,A,Q196Y7
AF-0000000000000114,1,A,Q6GZQ1
AF-0000000000000115,1,A,Q6GZQ0
AF-0000000000000116,1,A,Q196Y5
AF-0000000000000117,1,A,Q6GZP9
AF-0000000000000118,1,A,Q6GZP8
AF-0000000000000119,1,A,Q196Y3
AF-0000000000000120,1,A,Q6GZP7
AF-0000000000000121,1,A,Q6GZP6
AF-0000000000000122,1,A,Q196Y0
AF-0000000000000123,1,A,Q196X9
AF-0000000000000124,1,A,Q6GZP4
AF-0000000000000125,1,A,Q196X8
AF-0000000000000126,1,A,O55713
AF-0000000000000127,1,A,O55714
AF-0000000000000128,1,A,O55715
AF-0000000000000129,1,A,Q6GZP1
AF-0000000000000130,1,A,Q6GZT2
AF-0000000000000131,1,A,Q6GZN8
AF-0000000000000132,1,A,Q6GZN7
AF-0000000000000133,1,A,Q196X1
AF-0000000000000134,1,A,Q6GZN6
AF-0000000000000135,1,A,Q6GZN3
AF-0000000000000136,1,A,Q196W8
AF-0000000000000137,1,A,Q6GZN2
AF-0000000000000138,1,A,Q6GZN1
AF-0000000000000139,1,A,O55717
AF-0000000000000140,1,A,Q196W5
AF-0000000000000141,1,A,O55718
AF-0000000000000142,1,A,Q6GZN0
AF-0000000000000143,1,A,O55719
AF-0000000000000144,1,A,Q6GZM9
AF-0000000000000145,1,A,Q6GZM8
AF-0000000000000146,1,A,Q6GZM7
AF-0000000000000147,1,A,P0C9F0
AF-0000000000000148,1,A,P0C9F1
AF-0000000000000149,1,A,P0C9F2
AF-0000000000000150,1,A,P0C9E9
AF-0000000000000151,1,A,Q65209
AF-0000000000000152,1,A,P0C9F4
AF-0000000000000153,1,A,P0C9F5
AF-0000000000000154,1,A,P0C9F6
AF-0000000000000155,1,A,P0C9F3
AF-0000000000000156,1,A,Q65210
AF-0000000000000157,1,A,P0C9F8
AF-0000000000000158,1,A,P0C9F9
AF-0000000000000159,1,A,P0C9G0
AF-0000000000000160,1,A,P0C9F7
AF-0000000000000161,1,A,O55722
AF-0000000000000162,1,A,Q196V8
AF-0000000000000163,1,A,Q196V7
AF-0000000000000164,1,A,Q4U9M9
AF-0000000000000165,1,A,P15711
AF-0000000000000166,1,A,O55723
AF-0000000000000167,1,A,A9CBA2
AF-0000000000000168,1,A,O55724
AF-0000000000000169,1,A,O55725
AF-0000000000000170,1,A,Q196V2
AF-0000000000000171,1,A,Q43495
AF-0000000000000172,1,A,Q60888
AF-0000000000000173,1,A,Q8VBW9
AF-0000000000000174,1,A,Q6V4H0
AF-0000000000000175,1,A,P0DO85
AF-0000000000000176,1,A,Q60885
AF-0000000000000177,1,A,P0C9J4
AF-0000000000000178,1,A,P26704
AF-0000000000000179,1,A,P0C9J5
AF-0000000000000180,1,A,P0C9J6
AF-0000000000000181,1,A,P0C9J2
AF-0000000000000182,1,A,P0C9J8
AF-0000000000000183,1,A,P0C9J9
AF-0000000000000184,1,A,P26702
AF-0000000000000185,1,A,P0C9K1
AF-0000000000000186,1,A,P0C9K0
AF-0000000000000187,1,A,P0C9K2
AF-0000000000000188,1,A,P26706
AF-0000000000000189,1,A,P0C9K3
AF-0000000000000190,1,A,P26703
AF-0000000000000191,1,A,P0C9J7
AF-0000000000000192,1,A,P0C9J3
AF-0000000000000193,1,A,P18560
AF-0000000000000194,1,A,P0C9G2
AF-0000000000000195,1,A,P0C9G3
AF-0000000000000196,1,A,P0C9G4
AF-0000000000000197,1,A,A9JLI2
AF-0000000000000198,1,A,P0C9G1
AF-0000000000000199,1,A,P18559
AF-0000000000000200,1,A,P0C9G6
AF-0000000000000201,1,A,P0C9G7
AF-0000000000000202,1,A,P0C9G8
AF-0000000000000203,1,A,A9JLI3
AF-0000000000000204,1,A,P0C9G5
AF-0000000000000205,1,A,P0C9G9
AF-0000000000000206,1,A,P26708
AF-0000000000000207,1,A,P18558
AF-0000000000000208,1,A,P0C9H1
AF-0000000000000209,1,A,P26707
AF-0000000000000210,1,A,P0C9H2
AF-0000000000000211,1,A,P0C9H3
AF-0000000000000212,1,A,A9JLI5
AF-0000000000000213,1,A,P0C9H0
AF-0000000000000214,1,A,P18557
AF-0000000000000215,1,A,P26705
AF-0000000000000216,1,A,P0C9H5
AF-0000000000000217,1,A,P0C9H6
AF-0000000000000218,1,A,A9JLI7
AF-0000000000000219,1,A,P0C9H4
AF-0000000000000220,1,A,P68744
AF-0000000000000221,1,A,P0C9H8
AF-0000000000000222,1,A,P68745
AF-0000000000000223,1,A,P0C9H9
AF-0000000000000224,1,A,P0C9I0
AF-0000000000000225,1,A,P0C9H7
AF-0000000000000226,1,A,P0C9I2
AF-0000000000000227,1,A,P26709
AF-0000000000000228,1,A,P0C9I3
AF-0000000000000229,1,A,P0C9I4
AF-0000000000000230,1,A,P0C9I1
AF-0000000000000231,1,A,P0C9I6
AF-0000000000000232,1,A,P0C9I7
AF-0000000000000233,1,A,P0C9I8
AF-0000000000000234,1,A,P0C9I5
AF-0000000000000235,1,A,P0C9J0
AF-0000000000000236,1,A,P26710
AF-0000000000000237,1,A,P0C9J1
AF-0000000000000238,1,A,P0C9I9
AF-0000000000000239,1,A,P13813
AF-0000000000000240,1,A,Q196V0
AF-0000000000000241,1,A,O55726
AF-0000000000000242,1,A,O55727
AF-0000000000000243,1,A,O55728
AF-0000000000000244,1,A,Q196U6
AF-0000000000000245,1,A,O55731
AF-0000000000000246,1,A,Q196U4
AF-0000000000000247,1,A,Q196U3
AF-0000000000000248,1,A,Q196U2
AF-0000000000000249,1,A,Q196U1
AF-0000000000000250,1,A,P0DO87
AF-0000000000000251,1,A,P0DJZ0
AF-0000000000000252,1,A,B5KVH4
AF-0000000000000253,1,A,C0HLM8
AF-0000000000000254,1,A,C0HLR7
AF-0000000000000255,1,A,C0HLM9
AF-0000000000000256,1,A,Q9XHP0
AF-0000000000000257,1,A,P19084
AF-0000000000000258,1,A,P13744
AF-0000000000000259,1,A,O55734
AF-0000000000000260,1,A,O55735
AF-0000000000000261,1,A,Q196T8
AF-0000000000000262,1,A,O55736
AF-0000000000000263,1,A,Q196T7
AF-0000000000000264,1,A,O55737
AF-0000000000000265,1,A,Q196T6
AF-0000000000000266,1,A,Q196T5
AF-0000000000000267,1,A,Q196T4
AF-0000000000000268,1,A,O55738
AF-0000000000000269,1,A,O55739
AF-0000000000000270,1,A,P32234
AF-0000000000000271,1,A,P21215
AF-0000000000000272,1,A,Q05349
AF-0000000000000273,1,A,P80438
AF-0000000000000274,1,A,Q92AT0
AF-0000000000000275,1,A,Q8GBW6
AF-0000000000000276,1,A,O55740
AF-0000000000000277,1,A,O55741
AF-0000000000000278,1,A,Q91G04
AF-0000000000000279,1,A,O55743
AF-0000000000000280,1,A,O55744
AF-0000000000000281,1,A,O55745
AF-0000000000000282,1,A,P83011
AF-0000000000000283,1,A,P83010
AF-0000000000000284,1,A,O23878
AF-0000000000000285,1,A,O23880
AF-0000000000000286,1,A,Q9XFM4
AF-0000000000000287,1,A,P83004
AF-0000000000000288,1,A,A9NJG2
AF-0000000000000289,1,A,O55746
AF-0000000000000290,1,A,O55747
AF-0000000000000291,1,A,P48347
AF-0000000000000292,1,A,P93207
AF-0000000000000293,1,A,Q9S9Z8
AF-0000000000000294,1,A,Q9C5W6
AF-0000000000000295,1,A,P42643
AF-0000000000000296,1,A,P41932
AF-0000000000000297,1,A,Q9U408
AF-0000000000000298,1,A,Q24902
AF-0000000000000299,1,A,P42648
AF-0000000000000300,1,A,P49106
AF-0000000000000301,1,A,Q84J55
AF-0000000000000302,1,A,P85938
AF-0000000000000303,1,A,Q26540
AF-0000000000000304,1,A,P93206
AF-0000000000000305,1,A,Q41418
AF-0000000000000306,1,A,Q01525
AF-0000000000000307,1,A,Q20655
AF-0000000000000308,1,A,Q8MUA4
AF-0000000000000309,1,A,Q8MM75
AF-0000000000000310,1,A,P42649
AF-0000000000000311,1,A,Q01526
AF-0000000000000312,1,A,Q7XTE8
AF-0000000000000313,1,A,P85939
AF-0000000000000314,1,A,Q26537
AF-0000000000000315,1,A,P93208
AF-0000000000000316,1,A,Q43643
AF-0000000000000317,1,A,P42644
AF-0000000000000318,1,A,P42650
AF-0000000000000319,1,A,Q6ZKC0
AF-0000000000000320,1,A,P85941
AF-0000000000000321,1,A,P93209
AF-0000000000000322,1,A,P46077
AF-0000000000000323,1,A,Q2R2W2
AF-0000000000000324,1,A,P85942
AF-0000000000000325,1,A,P42652
AF-0000000000000326,1,A,P42645
AF-0000000000000327,1,A,Q6EUP4
AF-0000000000000328,1,A,P93210
AF-0000000000000329,1,A,P93784
AF-0000000000000330,1,A,P48349
AF-0000000000000331,1,A,Q06967
AF-0000000000000332,1,A,P93211
AF-0000000000000333,1,A,Q96300
AF-0000000000000334,1,A,Q5QNB8
AF-0000000000000335,1,A,P93212
AF-0000000000000336,1,A,P48348
AF-0000000000000337,1,A,Q2R1D5
AF-0000000000000338,1,A,P93213
AF-0000000000000339,1,A,Q96299
AF-0000000000000340,1,A,P93214
AF-0000000000000341,1,A,P29305
AF-0000000000000342,1,A,Q96450
AF-0000000000000343,1,A,P93342
AF-0000000000000344,1,A,P42653
AF-0000000000000345,1,A,P68250
AF-0000000000000346,1,A,Q5ZLQ6
AF-0000000000000347,1,A,Q43470
AF-0000000000000348,1,A,P31946
AF-0000000000000349,1,A,Q4R572
AF-0000000000000350,1,A,Q9CQV8
AF-0000000000000351,1,A,A4K2U9
AF-0000000000000352,1,A,P35213
AF-0000000000000353,1,A,P68251
AF-0000000000000354,1,A,Q96451
AF-0000000000000355,1,A,O49995
AF-0000000000000356,1,A,P42654
AF-0000000000000357,1,A,Q5XGC8
AF-0000000000000358,1,A,Q96452
AF-0000000000000359,1,A,P93343
AF-0000000000000360,1,A,Q96453
AF-0000000000000361,1,A,O49996
AF-0000000000000362,1,A,P62261
AF-0000000000000363,1,A,Q5ZMT0
AF-0000000000000364,1,A,P92177
AF-0000000000000365,1,A,P62258
AF-0000000000000366,1,A,P62259
AF-0000000000000367,1,A,P62260
AF-0000000000000368,1,A,P62262
AF-0000000000000369,1,A,O49997
AF-0000000000000370,1,A,P68509
AF-0000000000000371,1,A,Q04917
AF-0000000000000372,1,A,P68510
AF-0000000000000373,1,A,P68511
AF-0000000000000374,1,A,O49998
AF-0000000000000375,1,A,P68252
AF-0000000000000376,1,A,Q5F3W6
AF-0000000000000377,1,A,P61981
AF-0000000000000378,1,A,P61982
AF-0000000000000379,1,A,Q5RC20
AF-0000000000000380,1,A,P61983
AF-0000000000000381,1,A,P68253
AF-0000000000000382,1,A,C0H4V6
AF-0000000000000383,1,A,Q0VC36
AF-0000000000000384,1,A,P31947
AF-0000000000000385,1,A,O70456
AF-0000000000000386,1,A,O77642
AF-0000000000000387,1,A,Q3SZI4
AF-0000000000000388,1,A,Q5ZMD1
AF-0000000000000389,1,A,P27348
AF-0000000000000390,1,A,P68254
AF-0000000000000391,1,A,Q5RFJ2
AF-0000000000000392,1,A,Q6Q6X0
AF-0000000000000393,1,A,P68255
AF-0000000000000394,1,A,Q52M98
AF-0000000000000395,1,A,P29306
AF-0000000000000396,1,A,Q1HR36
AF-0000000000000397,1,A,Q2F637
AF-0000000000000398,1,A,P63103
AF-0000000000000399,1,A,Q5ZKC9
AF-0000000000000400,1,A,P29310
AF-0000000000000401,1,A,P63104
AF-0000000000000402,1,A,P63101
AF-0000000000000403,1,A,Q5R651
AF-0000000000000404,1,A,P63102
AF-0000000000000405,1,A,P29361
AF-0000000000000406,1,A,Q91896
AF-0000000000000407,1,A,Q6P4Z5
AF-0000000000000408,1,A,O42766
AF-0000000000000409,1,A,P52908
AF-0000000000000410,1,A,P54632
AF-0000000000000411,1,A,O96436
AF-0000000000000412,1,A,Q8SW28
AF-0000000000000413,1,A,Q39757
AF-0000000000000414,1,A,E2RU97
AF-0000000000000415,1,A,O65352
AF-0000000000000416,1,A,Q9SP07
AF-0000000000000417,1,A,P93259
AF-0000000000000418,1,A,Q25538
AF-0000000000000419,1,A,P29307
AF-0000000000000420,1,A,P46266
AF-0000000000000421,1,A,P84972
AF-0000000000000422,1,A,P29308
AF-0000000000000423,1,A,Q41246
AF-0000000000000424,1,A,Q99002
AF-0000000000000425,1,A,P29309
AF-0000000000000426,1,A,Q6UFZ9
AF-0000000000000427,1,A,Q6UFZ8
AF-0000000000000428,1,A,Q5PRD0
AF-0000000000000429,1,A,Q5XHK2
AF-0000000000000430,1,A,Q7T356
AF-0000000000000431,1,A,Q8AVQ3
AF-0000000000000432,1,A,Q6PC29
AF-0000000000000433,1,A,Q6UFZ3
AF-0000000000000434,1,A,Q6UFZ2
AF-0000000000000435,1,A,Q6PCG0
AF-0000000000000436,1,A,Q6NRY9
AF-0000000000000437,1,A,O55751
AF-0000000000000438,1,A,P0DTH6
AF-0000000000000439,1,A,O55752
AF-0000000000000440,1,A,O55753
AF-0000000000000441,1,A,P16536
AF-0000000000000442,1,A,P14009
AF-0000000000000443,1,A,B2SAT5
AF-0000000000000444,1,A,Q2YKY9
AF-0000000000000445,1,A,A6X5T5
AF-0000000000000446,1,A,P0C8N0
AF-0000000000000447,1,A,A9MC22
AF-0000000000000448,1,A,Q7CNS4
AF-0000000000000449,1,A,A5VV34
AF-0000000000000450,1,A,A9WZ33
AF-0000000000000451,1,A,Q8FVU0
AF-0000000000000452,1,A,O55755
AF-0000000000000453,1,A,O55757
AF-0000000000000454,1,A,O55758
AF-0000000000000455,1,A,O55760
AF-0000000000000456,1,A,O55761
AF-0000000000000457,1,A,O55762
AF-0000000000000458,1,A,E7CY70
AF-0000000000000459,1,A,Q06JG5
AF-0000000000000460,1,A,Q06JG4
AF-0000000000000461,1,A,Q6YKB1
AF-0000000000000462,1,A,Q06JG6
AF-0000000000000463,1,A,O55764
AF-0000000000000464,1,A,O55765
AF-0000000000000465,1,A,P50927
AF-0000000000000466,1,A,P50928
AF-0000000000000467,1,A,Q84I68
AF-0000000000000468,1,A,Q1RGK9
AF-0000000000000469,1,A,P29697
AF-0000000000000470,1,A,P0A3N4
AF-0000000000000471,1,A,Q9F9F2
AF-0000000000000472,1,A,Q52764
AF-0000000000000473,1,A,P50929
AF-0000000000000474,1,A,P50930
AF-0000000000000475,1,A,P16624
AF-0000000000000476,1,A,P50931
AF-0000000000000477,1,A,P0A3N5
AF-0000000000000478,1,A,Q7PA29
AF-0000000000000479,1,A,P22882
AF-0000000000000480,1,A,P16909
AF-0000000000000481,1,A,P46729
AF-0000000000000482,1,A,P46730
AF-0000000000000483,1,A,P46731
AF-0000000000000484,1,A,P46732
AF-0000000000000485,1,A,P12809
AF-0000000000000486,1,A,O55769
AF-0000000000000487,1,A,P05080
AF-0000000000000488,1,A,O55771
AF-0000000000000489,1,A,P30375
AF-0000000000000490,1,A,P16209
AF-0000000000000491,1,A,P16211
AF-0000000000000492,1,A,P30515
AF-0000000000000493,1,A,P30376
AF-0000000000000494,1,A,P16210
AF-0000000000000495,1,A,P30377
AF-0000000000000496,1,A,P13748
AF-0000000000000497,1,A,P30378
AF-0000000000000498,1,A,P13749
AF-0000000000000499,1,A,Q9LQ10
AF-0000000000000500,1,A,Q9S9U6
AF-0000000000000501,1,A,Q8GYY0
AF-0000000000000502,1,A,Q06429
AF-0000000000000503,1,A,P23599
AF-0000000000000504,1,A,P23279
AF-0000000000000505,1,A,A2XLL2
AF-0000000000000506,1,A,Q10DK7
AF-0000000000000507,1,A,Q9MB95
AF-0000000000000508,1,A,Q06402
AF-0000000000000509,1,A,Q00257
AF-0000000000000510,1,A,Q00379
AF-0000000000000511,1,A,Q7XQ85
AF-0000000000000512,1,A,P18485
AF-0000000000000513,1,A,A0A0P0WIY3
AF-0000000000000514,1,A,Q42881
AF-0000000000000515,1,A,Q43309
AF-0000000000000516,1,A,Q5W6F9
AF-0000000000000517,1,A,P29535
AF-0000000000000518,1,A,Q37001
AF-0000000000000519,1,A,A0A0P0UZP7
AF-0000000000000520,1,A,Q9SAR0
AF-0000000000000521,1,A,Q9SNN8
AF-0000000000000522,1,A,Q9STR4
AF-0000000000000523,1,A,Q9T065
AF-0000000000000524,1,A,Q9M2Y8
AF-0000000000000525,1,A,P27486
AF-0000000000000526,1,A,P37821
AF-0000000000000527,1,A,P31531
AF-0000000000000528,1,A,Q07262
AF-0000000000000529,1,A,Q01912
AF-0000000000000530,1,A,B9MGI8
AF-0000000000000531,1,A,B9K206
AF-0000000000000532,1,A,Q89XR6
AF-0000000000000533,1,A,A5EJ46
AF-0000000000000534,1,A,A4YUJ5
AF-0000000000000535,1,A,B1YYR8
AF-0000000000000536,1,A,A0AXI7
AF-0000000000000537,1,A,B4EJA6
AF-0000000000000538,1,A,Q0B569
AF-0000000000000539,1,A,Q390Z5
AF-0000000000000540,1,A,A9AQJ3
AF-0000000000000541,1,A,A3ME84
AF-0000000000000542,1,A,A2RWH4
AF-0000000000000543,1,A,Q62CE3
AF-0000000000000544,1,A,A1UVN3
AF-0000000000000545,1,A,B1K774
AF-0000000000000546,1,A,Q1BL32
AF-0000000000000547,1,A,A3P669
AF-0000000000000548,1,A,Q3JLQ0
AF-0000000000000549,1,A,A3NKK4
AF-0000000000000550,1,A,Q63KN7
AF-0000000000000551,1,A,Q2T6A1
AF-0000000000000552,1,A,A4JKV8
AF-0000000000000553,1,A,Q5KMX3
AF-0000000000000554,1,A,Q0K1H0
AF-0000000000000555,1,A,Q7M523
AF-0000000000000556,1,A,Q9ZHW3
AF-0000000000000557,1,A,B8IP05
AF-0000000000000558,1,A,A2SLW2
AF-0000000000000559,1,A,B0UGM0
AF-0000000000000560,1,A,A1TVP2
AF-0000000000000561,1,A,B2TBV3
AF-0000000000000562,1,A,Q13ME5
AF-0000000000000563,1,A,Q48KS9
AF-0000000000000564,1,A,Q51813
AF-0000000000000565,1,A,Q5PWZ8
AF-0000000000000566,1,A,P30297
AF-0000000000000567,1,A,Q87YW7
AF-0000000000000568,1,A,Q4ZVH4
AF-0000000000000569,1,A,Q00740
AF-0000000000000570,1,A,Q9V2L2
AF-0000000000000571,1,A,Q8U4R3
AF-0000000000000572,1,A,O57809
AF-0000000000000573,1,A,Q8XS35
AF-0000000000000574,1,A,B2UGM5
AF-0000000000000575,1,A,Q98AM7
AF-0000000000000576,1,A,Q93AG0
AF-0000000000000577,1,A,B9JJB7
AF-0000000000000578,1,A,Q9AHF0
AF-0000000000000579,1,A,Q9URX3
AF-0000000000000580,1,A,Q9WY68
AF-0000000000000581,1,A,Q6J256
AF-0000000000000582,1,A,C5CQC9
AF-0000000000000583,1,A,Q5E9H2
AF-0000000000000584,1,A,Q96QU6
AF-0000000000000585,1,A,A2AIG8
AF-0000000000000586,1,A,Q9W698
AF-0000000000000587,1,A,Q4AC99
AF-0000000000000588,1,A,Q3UX83
AF-0000000000000589,1,A,O16846
AF-0000000000000590,1,A,Q96355
AF-0000000000000591,1,A,P0DJY0
AF-0000000000000592,1,A,P03589
AF-0000000000000593,1,A,Q00020
AF-0000000000000594,1,A,P03588
AF-0000000000000595,1,A,P27752
AF-0000000000000596,1,A,P17769
AF-0000000000000597,1,A,Q83270
AF-0000000000000598,1,A,Q66121
AF-0000000000000599,1,A,O40976
AF-0000000000000600,1,A,P20122
AF-0000000000000601,1,A,P06011
AF-0000000000000602,1,A,Q83264
AF-0000000000000603,1,A,Q83943
AF-0000000000000604,1,A,P28726
AF-0000000000000605,1,A,Q9DUT3
AF-0000000000000606,1,A,P28931
AF-0000000000000607,1,A,P89680
AF-0000000000000608,1,A,P30379
AF-0000000000000609,1,A,P13750
AF-0000000000000610,1,A,P30516
AF-0000000000000611,1,A,P30380
AF-0000000000000612,1,A,P13751
AF-0000000000000613,1,A,P30381
AF-0000000000000614,1,A,P30382
AF-0000000000000615,1,A,P30383
AF-0000000000000616,1,A,P30686
AF-0000000000000617,1,A,P30517
AF-0000000000000618,1,A,P30385
AF-0000000000000619,1,A,P30386
AF-0000000000000620,1,A,P30387
AF-0000000000000621,1,A,P16215
AF-0000000000000622,1,A,O17433
AF-0000000000000623,1,A,P52570
AF-0000000000000624,1,A,Q84PN8
AF-0000000000000625,1,A,Q84LA1
AF-0000000000000626,1,A,B6DZC8
AF-0000000000000627,1,A,B6DZD1
AF-0000000000000628,1,A,B6DZD2
AF-0000000000000629,1,A,D2IGW7
AF-0000000000000630,1,A,Q70AT7
AF-0000000000000631,1,A,B6DXP5
AF-0000000000000632,1,A,B6DZD0
AF-0000000000000633,1,A,O23507
AF-0000000000000634,1,A,P30388
AF-0000000000000635,1,A,P0DMQ7
AF-0000000000000636,1,A,Q91FX0
AF-0000000000000637,1,A,Q91FW4
AF-0000000000000638,1,A,Q8MIS5
AF-0000000000000639,1,A,Q8QZQ9
AF-0000000000000640,1,A,Q91FW0
AF-0000000000000641,1,A,Q91FV9
AF-0000000000000642,1,A,Q91FV5
AF-0000000000000643,1,A,Q91FV3
AF-0000000000000644,1,A,P17407
AF-0000000000000645,1,A,P15256
AF-0000000000000646,1,A,Q91FV0
AF-0000000000000647,1,A,L0TBY6
AF-0000000000000648,1,A,Q91FU6
AF-0000000000000649,1,A,Q91FU5
AF-0000000000000650,1,A,Q91FU4
AF-0000000000000651,1,A,A9CB93
AF-0000000000000652,1,A,P22282
AF-0000000000000653,1,A,P22283
AF-0000000000000654,1,A,Q91FT8
AF-0000000000000655,1,A,Q91FT7
AF-0000000000000656,1,A,Q91FT6
AF-0000000000000657,1,A,Q91FT4
AF-0000000000000658,1,A,P80166
AF-0000000000000659,1,A,Q91FT2
AF-0000000000000660,1,A,Q91FT1
AF-0000000000000661,1,A,Q91FT0
AF-0000000000000662,1,A,Q91FS6
AF-0000000000000663,1,A,Q91FS5
AF-0000000000000664,1,A,Q91FS3
AF-0000000000000665,1,A,P14592
AF-0000000000000666,1,A,Q91FS2
AF-0000000000000667,1,A,Q91FR9
AF-0000000000000668,1,A,Q91FR8
AF-0000000000000669,1,A,Q91FR7
AF-0000000000000670,1,A,Q6STM1
AF-0000000000000671,1,A,M5AWY0
AF-0000000000000672,1,A,P23170
AF-0000000000000673,1,A,Q8QZQ8
AF-0000000000000674,1,A,P83072
AF-0000000000000675,1,A,Q91FQ1
AF-0000000000000676,1,A,Q91FQ0
AF-0000000000000677,1,A,Q91FP0
AF-0000000000000678,1,A,Q91FN9
AF-0000000000000679,1,A,Q91FN7
AF-0000000000000680,1,A,Q91FN5
AF-0000000000000681,1,A,P19361
AF-0000000000000682,1,A,P33405
AF-0000000000000683,1,A,Q91FN1
AF-0000000000000684,1,A,P84001
AF-0000000000000685,1,A,O18178
AF-0000000000000686,1,A,O04375
AF-0000000000000687,1,A,Q15172
AF-0000000000000688,1,A,Q6PD03
AF-0000000000000689,1,A,O04376
AF-0000000000000690,1,A,Q15173
AF-0000000000000691,1,A,Q6PD28
AF-0000000000000692,1,A,Q28647
AF-0000000000000693,1,A,Q80W83
AF-0000000000000694,1,A,Q9ZQY6
AF-0000000000000695,1,A,Q14738
AF-0000000000000696,1,A,Q28653
AF-0000000000000697,1,A,P38903
AF-0000000000000698,1,A,Q9SV41
AF-0000000000000699,1,A,A4FV68
